1,Agi
2,Agilao
3,Agidyne
4,Maragi
5,Maragion
6,Maragidyne
7,Fire Breath
8,Trisagion
9,Ragnarok
10,Bufu
11,Bufula
12,Bufudyne
13,Mabufu
14,Mabufula
15,Mabufudyne
16,Ice Breath
17,Glacial Blast
18,Cold World
19,Zio
20,Zionga
21,Ziodyne
22,Mazio
23,Mazionga
24,Maziodyne
25,Shock
26,Thunder Reign
27,Singularity Hellfire
28,Zan
29,Zanma
30,Zandyne
31,Mazan
32,Mazanma
33,Mazandyne
34,Wind Breath
35,Deadly Wind
36,Floral Gust
37,Megido
38,Megidola
39,Megidolaon
40,Great Logos
41,Antichthon
42,Babylon Goblet
43,Holy Wrath
44,Judgement
45,Sea of Chaos
46,Life Drain
47,Spirit Drain
48,Energy Drain
49,Mudo
50,Mudoon
51,Mamudo
52,Mamudoon
53,Die For Me!
54,Hama
55,Hamaon
56,Mahama
57,Mahamaon
58,Judgement Light
59,Dormina
60,Lullaby
61,Poisma
62,Poison Breath
63,Shibaboo
64,Bind Voice
65,Pulinpa
66,Panic Voice
67,Cough
68,Pandemic Bomb
69,NONE
70,Shivering Taboo
71,NONE
72,NONE
73,NONE
74,NONE
75,NONE
76,Breath
77,Death's Door
78,Makakaja
79,Marin Karin
80,Sexy Dance
81,Dia
82,Diarama
83,Diarahan
84,Media
85,Mediarama
86,Mediarahan
87,Salvation
88,Patra
89,Me Patra
90,Posumudi
91,Royal Curse
92,Amrita
93,Recarm
94,Samarecarm
95,Recarmdra
96,Hell Thrust
97,Thunder Gods
98,Ice Age
99,Makajam
100,Makajamaon
101,Tarukaja
102,Sukukaja
103,Rakukaja
104,Luster Candy
105,Dekaja
106,Tarunda
107,Sukunda
108,Rakunda
109,Debilitate
110,Dekunda
111,Silent Prayer
112,War Cry
113,Fog Breath
114,Acid Breath
115,Taunt
116,Critical Eye
117,Grave Judgment
118,Tetrakarn
119,Makarakarn
120,Tetraja
121,Charge
122,Concentrate
123,Blood Ritual
124,Sabbatma
125,Invitation
126,Judgment Strike
127,Bad Company
128,NONE
129,NONE
130,NONE
131,NONE
132,Smile Charge
133,Magaon
134,Heavenly Punishment
135,Irrational Glimmer
136,Evil-crushing Flash
137,Trafuri
138,Doping
139,Revelation
140,Estoma
141,NONE
142,NONE
143,NONE
144,NONE
145,Forfeit
146,Nightmare
147,Bind
148,Eternal Rest
149,Frenzied Chomp
150,Eat Whole
151,Lunge
